                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.024759,               0.024758,               0.014663,                      0,                0.81604,                0.72487,                0.80691,                0.54941,                 0.8467,                0.70106,                0.80483,                0.57671,                0.02143,               0.021208,              0.0057014,                      0,               0.005248,               0.005248,               0.005248
                     26,                0.02459,               0.024883,               0.014366,                      0,                0.85993,                 0.7328,                0.81195,                0.55119,                0.85993,                 0.7328,                 0.8105,                0.57871,               0.022548,               0.022196,               0.005879,                      0,                0.00505,                0.00505,                0.00505
                     27,               0.024528,               0.024568,               0.014636,                      0,                0.81653,                0.71819,                0.78594,                0.53254,                0.82254,                0.72348,                 0.7876,                0.55963,               0.022616,               0.021778,              0.0060255,                      0,               0.004852,               0.004852,               0.004852
                     28,               0.023691,               0.023707,               0.013545,                      0,                0.86911,                0.67989,                0.78849,                0.53879,                0.87249,                0.68254,                0.78838,                0.56082,               0.022103,               0.021125,              0.0060498,                      0,               0.004654,               0.004654,               0.004654
                     29,               0.023374,               0.024214,               0.013961,                      0,                0.83795,                0.73869,                 0.8084,                0.56611,                0.84395,                0.74398,                0.81273,                0.59688,               0.020764,                0.02011,              0.0057672,                      0,               0.004456,               0.004456,               0.004456
                     30,               0.022741,               0.023728,               0.013609,                      0,                0.85729,                0.73104,                0.80803,                0.57214,                0.86051,                0.75397,                0.81136,                0.58977,                0.02155,               0.020825,              0.0056298,                      0,               0.004258,               0.004258,               0.004258
                     31,               0.023165,               0.024139,               0.014032,                      0,                0.83685,                0.77349,                0.82565,                0.56231,                0.83991,                0.76338,                0.82717,                0.59342,               0.021638,               0.020855,              0.0056194,                      0,                0.00406,                0.00406,                0.00406
                     32,               0.022291,               0.023186,               0.013627,                      0,                0.86688,                0.72358,                0.79794,                0.57055,                0.88214,                 0.7326,                 0.8028,                0.58292,                0.02195,               0.021208,               0.005666,                      0,               0.003862,               0.003862,               0.003862
                     33,               0.021927,               0.022894,               0.013108,                      0,                   0.84,                0.75001,                0.82042,                0.58143,                0.84293,                0.75243,                0.82362,                0.60003,               0.021255,               0.020545,              0.0056193,                      0,               0.003664,               0.003664,               0.003664
                     34,               0.022004,               0.022824,               0.013192,                      0,                 0.8826,                0.70635,                0.81459,                0.57115,                 0.8826,                0.70635,                0.81782,                0.59546,               0.021633,               0.020993,              0.0057254,                      0,               0.003466,               0.003466,               0.003466
                     35,               0.022361,               0.022817,               0.013634,                      0,                 0.8776,                0.73545,                0.82741,                0.57673,                0.87415,                 0.7328,                0.82709,                0.59493,               0.021522,               0.021609,              0.0056097,                      0,               0.003268,               0.003268,               0.003268
                     36,               0.022431,               0.023661,               0.013279,                      0,                0.91329,                0.69663,                0.82709,                 0.5949,                0.91329,                0.69663,                0.82867,                 0.6135,               0.020811,               0.020185,              0.0054509,                      0,                0.00307,                0.00307,                0.00307
                     37,               0.022125,               0.023486,               0.013568,                      0,                0.90719,                0.71164,                0.82726,                 0.5898,                0.91393,                0.71693,                0.83124,                0.60839,               0.020103,               0.019788,              0.0056211,                      0,               0.002872,               0.002872,               0.002872
                     38,               0.021222,               0.022122,               0.013364,                      0,                0.84075,                0.73016,                0.83143,                0.59892,                0.84753,                0.73545,                0.83146,                0.61996,                0.01999,               0.019904,              0.0055782,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.02169,               0.022886,                0.01334,                      0,                0.86451,                0.74603,                0.83571,                0.60057,                0.86451,                0.74603,                0.83683,                0.62216,               0.019722,               0.019964,              0.0055765,                      0,               0.002476,               0.002476,               0.002476
                     40,               0.021663,               0.022561,               0.013198,                      0,                0.84547,                0.76715,                0.83968,                0.60644,                0.84839,                0.76979,                0.84421,                0.62235,               0.019328,               0.019769,              0.0055478,                      0,               0.002278,               0.002278,               0.002278
                     41,               0.021248,               0.022808,               0.013648,                      0,                0.84907,                0.76455,                0.82747,                0.60355,                0.84907,                0.76455,                0.82356,                0.61875,                0.01967,               0.020264,              0.0054752,                      0,                0.00208,                0.00208,                0.00208
                     42,               0.020109,               0.021987,               0.012986,                      0,                0.90593,                 0.7381,                0.84531,                0.60294,                0.90593,                 0.7381,                0.84548,                0.62085,               0.019577,               0.019938,               0.005536,                      0,               0.001882,               0.001882,               0.001882
                     43,               0.020065,               0.021849,               0.012712,                      0,                 0.8687,                 0.7526,                0.83126,                0.60368,                0.87175,                0.75525,                0.83283,                 0.6163,               0.019302,               0.019926,              0.0054633,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.02063,               0.022735,               0.013269,                      0,                0.84177,                0.76001,                0.84022,                0.61931,                0.85482,                0.76325,                0.84589,                0.63117,               0.019059,               0.019737,              0.0053751,                      0,               0.001486,               0.001486,               0.001486
                     45,               0.020074,               0.022179,               0.012783,                      0,                0.87093,                 0.7381,                0.84138,                0.62436,                0.87406,                0.74074,                0.84183,                0.63256,               0.018948,               0.019879,              0.0053701,                      0,               0.001288,               0.001288,               0.001288
                     46,               0.019365,               0.021199,               0.012334,                      0,                0.88864,                0.71693,                0.82746,                0.61557,                0.82944,                 0.7719,                0.82617,                0.62412,               0.019394,               0.020132,              0.0054319,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.02022,               0.021834,               0.012747,                      0,                0.89382,                0.74339,                 0.8429,                0.62759,                0.89753,                0.74603,                0.83996,                0.63726,                0.01891,               0.019826,              0.0054376,                      0,               0.000892,               0.000892,               0.000892
                     48,               0.020249,               0.022405,               0.012772,                      0,                0.88077,                 0.7672,                0.84986,                0.63368,                0.87502,                0.76984,                0.84195,                0.64116,               0.018762,               0.019957,              0.0053284,                      0,               0.000694,               0.000694,               0.000694
                     49,               0.019062,                0.02095,               0.012216,                      0,                0.86843,                0.76835,                0.84069,                0.62711,                0.86536,                0.77249,                0.83509,                0.63378,               0.019042,               0.020005,              0.0053873,                      0,               0.000496,               0.000496,               0.000496
                     50,                0.88112,                 0.7672,                0.84975,                0.63387,                 0.8746,                0.76984,                0.84221,                 0.6413,               0.018754,               0.019957,              0.0053281,                      0
