epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2386.66,0.86724,1.38208,0.8178,1.19795,0.88742,0.77155,0.86992,0.64957,0.89046,0.77419,0.86909,0.65595,0.94447,1.66543,0.85929,1.31277,0.0008516,0.0008516,0.0008516
31,3552.94,0.81296,1.33431,0.7411,1.16143,0.87324,0.72896,0.84483,0.61697,0.84246,0.7381,0.84047,0.62629,0.97341,1.67496,0.94033,1.37689,0.000812,0.000812,0.000812
32,4733.6,0.81402,1.31726,0.73213,1.17055,0.87566,0.75397,0.85435,0.63858,0.8626,0.75397,0.8543,0.63912,0.93656,1.7302,0.85093,1.31279,0.0007724,0.0007724,0.0007724
33,5886.26,0.80628,1.35288,0.73539,1.14459,0.85937,0.75983,0.85484,0.64608,0.85339,0.75454,0.8469,0.6465,0.95821,1.7377,0.84203,1.32806,0.0007328,0.0007328,0.0007328
34,7007.12,0.79834,1.3297,0.71899,1.13744,0.80986,0.78042,0.84884,0.64201,0.81631,0.77778,0.8446,0.64453,0.92046,1.72699,0.91234,1.34857,0.0006932,0.0006932,0.0006932
35,8138.43,0.79666,1.34816,0.7146,1.14051,0.93245,0.75132,0.87806,0.667,0.93245,0.75132,0.87428,0.6683,0.91917,1.68431,0.79443,1.25998,0.0006536,0.0006536,0.0006536
36,9185.55,0.78822,1.34106,0.70769,1.14274,0.8706,0.76538,0.86205,0.64062,0.86759,0.76273,0.85365,0.64637,0.93198,1.67745,0.83774,1.34676,0.000614,0.000614,0.000614
37,10275.2,0.76996,1.29118,0.6828,1.11045,0.85246,0.77778,0.85977,0.66316,0.85536,0.78042,0.85928,0.66136,0.88912,1.67537,0.83556,1.27685,0.0005744,0.0005744,0.0005744
38,11344.1,0.77226,1.28239,0.65799,1.12027,0.87058,0.76523,0.83781,0.62629,0.8561,0.77778,0.83726,0.6371,0.95826,1.63022,0.85991,1.28391,0.0005348,0.0005348,0.0005348
39,12438.3,0.80829,1.32418,0.72544,1.15201,0.91393,0.73038,0.85039,0.63878,0.91724,0.73302,0.84752,0.64682,0.94767,1.69284,0.88966,1.27276,0.0004952,0.0004952,0.0004952
40,13755.4,0.80466,1.34284,0.73171,1.15073,0.89115,0.77971,0.85466,0.64866,0.89286,0.76984,0.84434,0.64993,0.90514,1.6958,0.86783,1.24942,0.0004556,0.0004556,0.0004556
41,14810.5,0.71422,1.16561,0.61235,1.13714,0.89458,0.7857,0.86083,0.65095,0.88316,0.78307,0.85042,0.65362,0.91275,1.69849,0.86788,1.24153,0.000416,0.000416,0.000416
42,15876.5,0.6923,1.14547,0.56819,1.11983,0.9077,0.78307,0.88324,0.67931,0.88262,0.79573,0.87861,0.68223,0.87531,1.62244,0.77875,1.21555,0.0003764,0.0003764,0.0003764
43,16962.9,0.68945,1.1345,0.54928,1.12012,0.92001,0.76071,0.8675,0.6634,0.91681,0.75806,0.86173,0.66442,0.88459,1.59843,0.80936,1.22445,0.0003368,0.0003368,0.0003368
44,18038,0.668,1.09827,0.51357,1.10426,0.89657,0.7797,0.85973,0.66717,0.89657,0.7797,0.85775,0.66788,0.87751,1.66595,0.84884,1.3428,0.0002972,0.0002972,0.0002972
45,19162.5,0.65173,1.09653,0.50298,1.08044,0.88839,0.80016,0.87392,0.68682,0.89132,0.80281,0.87236,0.68478,0.86027,1.6267,0.77408,1.23378,0.0002576,0.0002576,0.0002576
46,20261.1,0.63781,1.05865,0.47931,1.07079,0.88912,0.78488,0.86681,0.68123,0.88552,0.79101,0.86402,0.67403,0.84991,1.66527,0.79516,1.2089,0.000218,0.000218,0.000218
47,21258,0.61074,1.04072,0.47015,1.05574,0.92887,0.79461,0.86996,0.67646,0.92901,0.79629,0.86841,0.67259,0.86892,1.64693,0.77756,1.23092,0.0001784,0.0001784,0.0001784
48,22280.7,0.61747,1.01147,0.47986,1.06599,0.88988,0.81481,0.87684,0.68036,0.88,0.81484,0.87193,0.6776,0.87496,1.58435,0.79456,1.23611,0.0001388,0.0001388,0.0001388
49,23303.2,0.61019,1.03273,0.45774,1.05349,0.92161,0.78836,0.87579,0.68524,0.91852,0.78571,0.87188,0.68047,0.86344,1.6382,0.77058,1.22485,9.92e-05,9.92e-05,9.92e-05
50,25061,0.59745,1.03944,0.43681,1.05409,0.91607,0.78836,0.87754,0.68621,0.913,0.78571,0.87346,0.68015,0.86365,1.64108,0.77182,1.2161,5.96e-05,5.96e-05,5.96e-05
