Image,Area,Perimeter,Compactness,MQI
61.jpg,51251,1157.86,0.4804,0.4804
62.jpg,6338,325.14,0.7534,0.7534
62.jpg,28900,988.84,0.3714,0.3714
62.jpg,40173,1481.25,0.2301,0.2301
63.jpg,17140,530.86,0.7643,0.7643
64.jpg,17233,529.55,0.7723,0.7723
65.jpg,17450,533.0,0.7719,0.7719
66.jpg,33031,757.85,0.7227,0.7227
68.jpg,31702,744.54,0.7187,0.7187
7.jpg,20539,595.71,0.7273,0.7273
70.jpg,6186,327.76,0.7236,0.7236
70.jpg,41990,1393.44,0.2718,0.2718
72.jpg,25255,729.07,0.5971,0.5971
75.jpg,154567,2287.21,0.3713,0.3713
76.jpg,24736,641.3,0.7558,0.7558
78.jpg,32088,719.49,0.7789,0.7789
79.jpg,129219,1613.95,0.6234,0.6234
8.jpg,19752,696.49,0.5117,0.5117
80.jpg,184056,1910.51,0.6337,0.6337
81.jpg,214227,2008.17,0.6675,0.6675
81.jpg,175231,1856.25,0.6391,0.6391
82.jpg,176395,2983.33,0.2491,0.2491
83.jpg,47429,886.2,0.7589,0.7589
84.jpg,62374,1122.93,0.6216,0.6216
85.jpg,6503,328.99,0.755,0.755
85.jpg,44082,1374.47,0.2932,0.2932
86.jpg,16819,527.0,0.761,0.761
86.jpg,4232,271.78,0.72,0.72
88.jpg,32864,745.63,0.7428,0.7428
9.jpg,20927,561.5,0.8341,0.8341
91.jpg,16474,510.62,0.794,0.794
91.jpg,4205,278.02,0.6836,0.6836
95.jpg,27439,660.32,0.7908,0.7908
96.jpg,37146,765.67,0.7962,0.7962
97.jpg,37000,761.19,0.8025,0.8025
98.jpg,77262,1128.0,0.7631,0.7631
99.jpg,37026,761.77,0.8018,0.8018
cju0qkwl35piu0993l0dewei2.jpg,138566,1958.29,0.4541,0.4541
cju0qkwl35piu0993l0dewei2.jpg,88763,1593.86,0.4391,0.4391
cju0qkwl35piu0993l0dewei2.jpg,194799,2751.42,0.3234,0.3234
cju0s2a9ekvms080138tjjpxr.jpg,85700,1251.44,0.6877,0.6877
cju0t4oil7vzk099370nun5h9.jpg,149294,1789.4,0.5859,0.5859
cju13fwthn9mq0835gacxgy01.jpg,63302,1071.66,0.6926,0.6926
cju14hjh2ob2o0835ouz3r5aa.jpg,67210,1090.79,0.7098,0.7098
cju15jr8jz8sb0855ukmkswkz.jpg,129994,1452.53,0.7743,0.7743
cju16fpvhzypl0799p9phnlx6.jpg,155335,1886.4,0.5485,0.5485
cju16fpvhzypl0799p9phnlx6.jpg,50641,979.68,0.663,0.663
